|NAME: LUSAKA CITY COUNCIL|||||||||||
|2026  PERFORMANCE REPORT|||Period: 01-Jan-2026 to 30-Jun-2026||||||||
|REVENUE SOURCES|||||||||||
|#|Receipts|Budget|Actual|Varinace|Performance||||||
||||as at 30-Jun- 2026||||||||
|||a|b|c=a-b|b/a||||||
|||ZMW|ZMW|ZMW|%||||||
||Licensing and Compliance Services Strengthened||||||||||
||    Number of business levies issued||50000||20971|0|-29029|0.41942|||
||    Number of occupancy licenses prepared||300||169|0|-131|0.5633333333333334|||
||    Number of liquor licenses issued||1000||25|0|-975|0.025|||
||Procurement Processes Managed||||||||||
||    Number of Procurement Plans developed||1||1|0|0|1|||
||    Percentage of tenders advertised and awarded||100%||74%|0|-0.26|0.74|||
||Audit and Compliance Strengthened||||||||||
||    Number of audit reports prepared||4||2|0|-2|0.5|||
||    Percentage of audit recommendations actioned||100%||25%|0|-0.75|0.25|||
||Resource Mobilization and Management|66289638||28316846.28||-37972791.72|||||
||Key Output / Output Indicator|Annual Budget|Target 2026|Actual Expenditure (n/a by indicator)|Actual 2026|Actual 2026|Actual 2026|Actual 2026|||
||Revenue Collection Strengthened||||||||||
||    Proportion of budgeted revenue collected (OSR)||100%||73%|0|-0.27|0.73|||
||    Number of revenue check points manned (markets and parking areas)||94||94|0|0|1|||
||Valuation Roll Updated||||||||||
||    Percentage of valuation roll updated||100%||65%|0|-0.35|0.65|||
||District Health Services|25141072||1456622||-23684450|||||
||Key Output / Output Indicator|Annual Budget|Target 2026|Actual Expenditure (n/a by indicator)|Actual 2026|Actual 2026|Actual 2026|Actual 2026|||
||Childhood Immunization Services Provided||||||||||
||    Percentage of children under one year fully vaccinated||90%||79.67%|0|-0.10330000000000006|0.8852222222222221|||
||Maternal and Child Health Care Services Provided||||||||||
||    Percentage of pregnant women receiving at least one antenatal care (ANC) visit||90%||67.59%|0|-0.22410000000000008|0.7509999999999999|||
||Reproductive and Maternal Health Services Provided||||||||||
||    Percentage of deliveries conducted in health facilities under skilled supervision||87%||98.67%|0|0.11670000000000003|1.1341379310344828|||
||    Number of new family planning acceptors recorded||2000||38.12%|0|-1999.6188|0.0001906|||
||Malaria Prevention and Case Management Services Provided||||||||||
||    Percentage of malaria inpatients who died due to malaria||0%||13%|0|0.13|0|||
||HIV Prevention, Testing, and Treatment Services Provided||||||||||
||    Percentage of people living with HIV aware of their HIV status||95%||||||||
||    Percentage of newly diagnosed HIV-positive individuals initiated on ART||95%||93.13%|0|-0.01869999999999994|0.9803157894736843|||
||Nutrition Services Provided||||||||||
||    Number of health facilities with functional nutrition equipment and tools||65||80|0|15|1.2307692307692308|||
||Clean Water Supply and Sanitation Services Provided to Health Facilities||||||||||
||    Number of health facilities with adequate clean and safe water supply||66||66|0|0|1|||
||    Number of health facilities with functional waterborne toilet facilities||66||50|0|-16|0.7575757575757576|||
||Environmental Health Services Conducted||||||||||
||    Number of premises inspected and found compliant with public health standards||36250||15427|0|-20823|0.42557241379310345|||
||    Number of epidemic preparedness meetings conducted||4||0|0|-4|0|||
||Health Promotion and Behavior Change Services Provided||||||||||
||    Number of people reached through health education activities||2000000||1300000|0|-700000|0.65|||
||    Number of social and behavior change (SBC) materials distributed||70000||140000|0|70000|2|||
||Community Engagement Strengthened||||||||||
||    Number of stakeholder meetings held||2||0|0|-2|0|||
||Referral System Strengthened||||||||||
||    Percentage of cases referred||100%||0|0|-1|0|||
||Transport Services|6351370||1296245||-5055125|||||
||Key Output / Output Indicator|Annual Budget|Target 2026|Actual Expenditure (n/a by indicator)|Actual 2026|Actual 2026|Actual 2026|Actual 2026|||
||Road Infrastructure Developed||||||||||
||    Number of Road Signages installed||60||96|0|36|1.6|||
||    Kilometers of Road Markings painted||2||6|0|4|3|||
||    Kilometers of drainage constructed||2||1|0|-1|0.5|||
